0.25 0.25 0.25 0.25
launch 0.00955 0.0019 0.007975 0.036825
gener 0.01585 0.0061 0.022125 0.012125
there 0.01445 0.01995 0.0077 0.01385
largest 0.00585 0.000525 0.03675 0.012625
search 0.004625 0.002325 0.007175 0.0413
point 0.00325 0.04055 0.006775 0.00485
work 0.014425 0.006575 0.0121 0.022075
hit 0.012575 0.023625 0.012425 0.006375
olymp 0.00405 0.0496 0.0005 0.0008
london 0.013275 0.01245 0.021975 0.007225
co 0.00155 0.00045 0.04415 0.00875
10 0.0102 0.018425 0.0098 0.01635
them 0.01605 0.013475 0.00775 0.017275
talk 0.0296 0.008 0.011375 0.005525
seri 0.008025 0.03715 0.002425 0.006825
phone 0.002175 0.001275 0.011175 0.039375
cup 0.001175 0.052175 0.000225 0.0002
champion 0.002425 0.04965 0.0004 0.000475
charg 0.017075 0.01065 0.016625 0.008425
british 0.028625 0.00725 0.009025 0.00765
way 0.0108 0.014825 0.00875 0.01775
test 0.0091 0.027225 0.003125 0.01265
anoth 0.01035 0.018475 0.0118 0.01105
iraqi 0.049925 5e-05 0.00125 0.000325
her 0.01695 0.022225 0.007475 0.0049
polic 0.041525 0.004275 0.0016 0.0037
sinc 0.0144 0.015625 0.011 0.01
high 0.008575 0.007125 0.0277 0.0076
lta 5e-05 5e-05 0.0444 0.006375
won 0.006675 0.031125 0.007025 0.005725
look 0.00585 0.0175 0.011525 0.015475
south 0.024325 0.014725 0.00655 0.0046
cut 0.0063 0.003125 0.032975 0.00735
close 0.0107 0.01065 0.019925 0.0084
union 0.0185 0.00365 0.0247 0.002775
39t 0.002425 0.02675 0.009675 0.0107
palestinian 0.049225 0.0001 7.5e-05 0.000125
continu 0.010475 0.0089 0.0177 0.01195
quarter 0.001675 0.0085 0.02925 0.009525
head 0.015375 0.016975 0.0097 0.006875
offic 0.019475 0.002425 0.014325 0.012675
go 0.008725 0.0185 0.008 0.01365
job 0.006 0.006225 0.0288 0.00765
five 0.01305 0.0193 0.00725 0.008875
sign 0.01095 0.0152 0.011775 0.01055
john 0.026275 0.00955 0.007 0.0055
through 0.013175 0.01255 0.008375 0.0141
power 0.0194 0.004125 0.0081 0.0165
come 0.0076 0.0156 0.0095 0.0154
music 0.001825 0.00055 0.004725 0.040825
hope 0.013575 0.014125 0.008125 0.01205
red 0.0041 0.033775 0.002125 0.00785
meet 0.017175 0.011725 0.013675 0.00515
him 0.016925 0.024825 0.0034 0.002375
even 0.010175 0.015075 0.00895 0.013075
part 0.0119 0.00615 0.01445 0.014325
increas 0.005825 0.0016 0.02825 0.011125
provid 0.00485 0.00375 0.0118 0.0263
space 0.001525 0.000125 0.0016 0.043
becaus 0.008025 0.015 0.01275 0.01045
earn 0.002 0.00645 0.034075 0.00365
claim 0.01475 0.00945 0.00955 0.0122
onli 0.008375 0.0188 0.006725 0.011975
baghdad 0.045175 0.000125 0.000325 0.000175
dollar 0.004625 0.0013 0.0357 0.003825
score 0.003 0.039925 0.0007 0.00135
web 0.002475 0.00075 0.0042 0.037525
left 0.012525 0.0253 0.003375 0.0037
face 0.013575 0.013425 0.0095 0.0082
earli 0.013725 0.00975 0.011775 0.009425
mobil 0.0018 0.00055 0.008675 0.0334
firm 0.00295 0.001375 0.02535 0.014675
militari 0.041225 0.000175 0.00135 0.0015
tri 0.01565 0.010775 0.006675 0.011125
warn 0.016325 0.00305 0.01375 0.0107
rule 0.015725 0.005525 0.014325 0.008225
so 0.005975 0.016675 0.006725 0.01435
bid 0.007175 0.0084 0.020375 0.00765
return 0.010925 0.020925 0.0059 0.00565
bomb 0.041175 0.0007 0.000525 0.000925
follow 0.012225 0.012375 0.010575 0.0081
north 0.025525 0.006175 0.0057 0.005725
rate 0.0027 0.00125 0.034525 0.004625
under 0.015975 0.007025 0.0108 0.009275
loss 0.00235 0.016275 0.021175 0.0031
india 0.0199 0.01085 0.007325 0.004725
mani 0.010625 0.007125 0.00965 0.015275
right 0.012675 0.0178 0.004975 0.007175
rose 0.003 0.0024 0.034425 0.00275
consum 0.001775 5e-05 0.023075 0.0176
rival 0.007575 0.007525 0.015125 0.0121
give 0.00935 0.0125 0.00835 0.012075
2 0.003975 0.008325 0.01235 0.017475
beat 0.00325 0.032825 0.003875 0.002125
drug 0.006125 0.007775 0.023375 0.004775
support 0.015025 0.003775 0.0065 0.0166
buy 0.001975 0.001425 0.028175 0.010025
hold 0.012475 0.007175 0.015075 0.00685
japan 0.017675 0.004975 0.0102 0.00865
investor 0.0041 0.000325 0.033375 0.0035
still 0.01055 0.012475 0.0087 0.009575
file 0.0028 0.0032 0.0171 0.018125
ago 0.01185 0.010125 0.0078 0.0111
war 0.0296 0.001275 0.0035 0.006325
demand 0.0139 0.001225 0.019275 0.006225
number 0.0069 0.0087 0.009625 0.0154
reach 0.008325 0.013525 0.010275 0.00845
store 0.00095 0.000475 0.022525 0.0162
1 0.003025 0.016925 0.013375 0.00675
user 0.0004 0.0001 0.002475 0.037
retail 0.000775 0.000125 0.030875 0.00815
championship 0.001175 0.038325 0.0001 0.00025
cost 0.003025 0.002575 0.025 0.008975
wireless 5e-05 2.5e-05 0.01375 0.0255
recent 0.00835 0.004775 0.013425 0.01275
street 0.010025 0.001175 0.02395 0.0041
program 0.012175 0.003725 0.004975 0.018275
latest 0.008125 0.00375 0.008975 0.0181
man 0.01415 0.013975 0.0019 0.008675
biggest 0.004825 0.005425 0.022775 0.00565
un 0.0361 7.5e-05 0.00045 0.002
region 0.026975 0.000775 0.00665 0.004075
data 0.00115 0.0001 0.018475 0.0185
agenc 0.01775 0.002125 0.006375 0.011875
associ 0.00485 0.013975 0.008625 0.01065
result 0.00795 0.0049 0.01595 0.009225
googl 0.00055 7.5e-05 0.009075 0.02825
growth 0.002825 0.000225 0.0294 0.0055
put 0.008425 0.012475 0.008 0.00895
airlin 0.00405 0.00075 0.0312 0.00185
athen 0.005075 0.031925 0.00025 0.000575
want 0.01025 0.010925 0.006325 0.010275
australia 0.010025 0.017875 0.007425 0.00245
rise 0.005425 0.001125 0.026075 0.005
boston 0.002275 0.026175 0.007575 0.001325
do 0.00635 0.0097 0.00695 0.014225
commun 0.005075 0.00105 0.0136 0.0175
public 0.009075 0.002425 0.01465 0.01085
big 0.003175 0.014 0.009425 0.010275
car 0.0209 0.004 0.007875 0.004
vote 0.021 0.002875 0.006125 0.00675
post 0.0063 0.00445 0.0196 0.0064
chang 0.0089 0.006725 0.009325 0.011775
line 0.00395 0.0061 0.0134 0.01325
england 0.003225 0.028975 0.00305 0.0014
race 0.00585 0.025025 0.0022 0.00335
remain 0.010275 0.009875 0.009925 0.006325
higher 0.004025 0.000575 0.02895 0.002825
isra 0.035175 0.000525 0.000175 0.0005
allow 0.00785 0.005075 0.006625 0.0168
how 0.00575 0.008225 0.006975 0.015275
custom 0.00095 0.0002 0.011325 0.02375
foreign 0.027975 0.0004 0.0062 0.001575
sell 0.00215 0.000975 0.020125 0.01285
footbal 0.00075 0.033575 0.000675 0.001075
rais 0.006625 0.001925 0.02245 0.005
found 0.011875 0.00525 0.0055 0.0133
air 0.012525 0.002725 0.0156 0.00505
where 0.01555 0.00855 0.00385 0.007775
round 0.00415 0.026625 0.00195 0.0029
west 0.0194 0.011475 0.00255 0.002175
turn 0.007425 0.01125 0.006475 0.010425
global 0.0059 0.000575 0.0164 0.012675
site 0.007225 0.001475 0.0036 0.023225
nuclear 0.033475 2.5e-05 0.000475 0.0015
much 0.003825 0.0096 0.011275 0.01065
financi 0.0025 0.002175 0.02595 0.0046
sever 0.01115 0.004575 0.008175 0.0113
issu 0.01205 0.002875 0.009975 0.010275
six 0.011525 0.012875 0.00565 0.0051
20 0.007975 0.0136 0.007125 0.0064
econom 0.0083 0.000375 0.025025 0.001325
pay 0.003525 0.00275 0.021425 0.007325
window 0.001125 0.0005 0.002025 0.031125
effort 0.012175 0.002825 0.008475 0.011225
becom 0.0066 0.009725 0.00675 0.0115
version 0.001125 0.000675 0.00225 0.030475
nearli 0.009425 0.004375 0.0123 0.008375
milit 0.034075 0.0001 0.00015 0.00015
held 0.014375 0.008675 0.006925 0.004275
futur 0.004625 0.005075 0.016 0.0084
need 0.0066 0.01005 0.007175 0.010225
name 0.005625 0.011325 0.006625 0.0104
economi 0.005625 0.00015 0.02635 0.001575
fire 0.015325 0.00885 0.005125 0.0044
despit 0.0105 0.007 0.0109 0.005225
angel 0.003425 0.020025 0.004675 0.0055
contract 0.00145 0.01665 0.01065 0.004875
presidenti 0.025275 0.000325 0.004625 0.00335
press 0.01955 0.005975 0.0035 0.00445
took 0.0071 0.014825 0.00675 0.0048
fell 0.0023 0.00215 0.027975 0.001025
engin 0.0037 0.00095 0.005025 0.0237
gold 0.002375 0.02145 0.008375 0.001175
ibm 0.000125 2.5e-05 0.006725 0.0264
univers 0.0016 0.009725 0.004775 0.01715
fight 0.01595 0.0073 0.00385 0.00595
place 0.00695 0.0166 0.0039 0.00555
troop 0.03175 0.000125 0.00055 0.00055
francisco 0.000975 0.011375 0.01 0.0106
i 0.0024 0.010175 0.004175 0.016075
past 0.005625 0.012 0.007025 0.008125
hous 0.01645 0.001375 0.009725 0.005225
key 0.0102 0.003775 0.0114 0.007375
worker 0.015875 0.0002 0.013575 0.002975
should 0.008875 0.006325 0.008475 0.008875
defens 0.010025 0.01615 0.0036 0.00275
near 0.0174 0.0027 0.0083 0.004125
your 0.001325 0.00385 0.0068 0.02055
also 0.0061 0.00695 0.007275 0.01215
ani 0.009025 0.009475 0.005725 0.00815
mark 0.009525 0.01135 0.006675 0.004775
america 0.004075 0.003375 0.012275 0.01255
commiss 0.0076 0.0009 0.0168 0.006875
investig 0.012575 0.0035 0.01135 0.00475
sox 0.0012 0.030125 0.0004 0.00015
concern 0.0072 0.00285 0.016625 0.005075
sourc 0.008025 0.002725 0.005675 0.015125
begin 0.00755 0.00705 0.007 0.009775
around 0.00725 0.007275 0.0055 0.0113
appl 0.00015 0.0003 0.002125 0.0287
titl 0.001125 0.025575 0.000725 0.0038
russian 0.01395 0.00495 0.007825 0.0044
gain 0.003625 0.00235 0.02025 0.0049
parti 0.025525 0.00165 0.001575 0.0023
keep 0.0061 0.00875 0.008525 0.00765
scientist 0.0031 2.5e-05 0.00085 0.027025
good 0.003675 0.009825 0.009925 0.007325
miss 0.0086 0.01685 0.00265 0.00265
here 0.00885 0.011525 0.00405 0.006275
agreement 0.00745 0.0034 0.0121 0.00775
tokyo 0.009 0.0011 0.01575 0.004825
campaign 0.0165 0.003375 0.004075 0.0067
chicago 0.001525 0.015075 0.012325 0.001675
capit 0.0189 0.002425 0.006425 0.002725
possibl 0.00885 0.00485 0.00975 0.00695
ahead 0.01015 0.00655 0.0103 0.00325
both 0.0062 0.00945 0.0062 0.008325
pc 0.000175 7.5e-05 0.003825 0.0261
order 0.009775 0.00315 0.01085 0.0064
strong 0.00585 0.0047 0.016225 0.0034
hurrican 0.008725 0.003725 0.012875 0.0048
polit 0.02255 0.00075 0.00305 0.0037
match 0.001325 0.026175 0.0012 0.001325
wall 0.004075 0.0009 0.021875 0.00315
interest 0.002925 0.002225 0.019875 0.004875
men 0.010875 0.015725 0.001125 0.00215
free 0.006525 0.006875 0.00445 0.011925
chip 0.000825 0.0006 0.008825 0.0195
pass 0.00545 0.017475 0.0027 0.0041
octob 0.0054 0.003425 0.011775 0.009125
drop 0.004225 0.00495 0.015725 0.0048
fund 0.003 0.000775 0.022125 0.003775
gaza 0.029425 0.000175 5e-05 2.5e-05
11 0.008775 0.01065 0.007875 0.00235
receiv 0.004825 0.0122 0.006925 0.00565
accus 0.0175 0.0033 0.005375 0.003425
long 0.004775 0.01025 0.00535 0.009175
step 0.00905 0.004875 0.0078 0.007775
fall 0.00415 0.004675 0.01565 0.005
author 0.01695 0.0014 0.004925 0.006125
septemb 0.004725 0.00325 0.01445 0.006975
australian 0.01095 0.008875 0.007275 0.00225
europ 0.00635 0.0046 0.00935 0.009
late 0.0075 0.0084 0.00835 0.00495
own 0.004625 0.0059 0.008125 0.01055
field 0.00225 0.019225 0.0045 0.003175
bill 0.00595 0.006875 0.007875 0.00845
media 0.0062 0.0035 0.008775 0.01065
video 0.004675 0.000775 0.00295 0.020625
appear 0.00905 0.00825 0.004075 0.0076
design 0.00195 0.0014 0.00395 0.0215
corpor 0.00135 0.000375 0.018475 0.008475
depart 0.00545 0.001425 0.01325 0.00855
member 0.01415 0.00465 0.005 0.004875
decis 0.0077 0.0092 0.00685 0.004925
russia 0.01515 0.005125 0.00555 0.00275
lower 0.0027 0.001425 0.02075 0.003625
seven 0.010725 0.0104 0.003925 0.0034
center 0.00455 0.008775 0.0041 0.011025
ad 0.004 0.007375 0.00665 0.0104
build 0.008275 0.0023 0.00775 0.010075
franc 0.012725 0.008 0.0044 0.003225
confer 0.006 0.011725 0.0029 0.007675
again 0.00455 0.01075 0.0073 0.005625
2005 0.00245 0.00625 0.009825 0.0096
school 0.013725 0.00715 0.00195 0.0053
such 0.00565 0.00225 0.00785 0.012325
devic 0.0014 2.5e-05 0.005225 0.0214
per 0.002325 0.001675 0.017675 0.006325
profil 0.000525 0.000175 0.02435 0.002925
aim 0.008875 0.0015 0.0054 0.012175
might 0.005175 0.008925 0.00575 0.007975
battl 0.00885 0.005325 0.0064 0.00705
rebel 0.025975 0.0004 0.001025 7.5e-05
electron 0.001 0.00035 0.008275 0.017725
peac 0.025475 0.000525 0.000675 0.00065
find 0.0049 0.003925 0.00565 0.012775
fourth 0.00375 0.013325 0.00645 0.003725
whether 0.008875 0.00515 0.007375 0.005775
case 0.008 0.004375 0.007375 0.00735
control 0.007975 0.0033 0.007475 0.008325
half 0.00405 0.009525 0.007475 0.00595
star 0.0036 0.01515 0.0021 0.006125
oracl 0.000125 7.5e-05 0.012875 0.013875
digit 0.0004 0.000125 0.004425 0.02195
she 0.0065 0.011825 0.005225 0.00335
french 0.017125 0.00375 0.00385 0.002125
server 0.0001 7.5e-05 0.001175 0.025475
well 0.00395 0.00755 0.005575 0.00965
crude 0.002175 0.000275 0.024 0.000225
michael 0.0028 0.01405 0.0069 0.0029
approv 0.007125 0.001625 0.013025 0.004775
propos 0.008125 0.00275 0.0097 0.00595
30 0.0072 0.00955 0.005325 0.004425
target 0.00755 0.002475 0.0083 0.008125
death 0.02125 0.001775 0.0009 0.0025
invest 0.001125 0.00075 0.02095 0.003575
inform 0.005325 0.001575 0.0056 0.0139
12 0.00605 0.009825 0.0056 0.0049
fan 0.001425 0.018375 0.000975 0.005525
person 0.004925 0.0031 0.005475 0.0128
lo 0.003275 0.0124 0.004675 0.005925
leav 0.009025 0.00815 0.004875 0.00395
novemb 0.005725 0.00265 0.009175 0.008425
northern 0.019075 0.001475 0.0034 0.002
canadian 0.015075 0.0026 0.005375 0.0029
creat 0.003425 0.00165 0.008025 0.012825
southern 0.015775 0.006175 0.0019 0.002025
reserv 0.001925 0.002825 0.02005 0.001075
japanes 0.0097 0.0022 0.008225 0.00565
board 0.003325 0.0047 0.0131 0.00465
hand 0.007475 0.00965 0.003775 0.00485
florida 0.005375 0.0123 0.004625 0.00345
club 0.0013 0.022 0.001625 0.000775
told 0.00995 0.006325 0.005075 0.004325
fail 0.008 0.006225 0.00735 0.004075
boost 0.004025 0.00135 0.0143 0.005925
suppli 0.003325 0.0004 0.0177 0.00415
st 0.00185 0.018825 0.00135 0.003525
produc 0.004125 0.00325 0.0127 0.00545
pakistan 0.0206 0.00425 0.000525 0.0001
posit 0.0046 0.009775 0.00625 0.00475
central 0.012475 0.00225 0.008375 0.002275
due 0.0052 0.003825 0.011525 0.0048
yanke 0.001475 0.02335 0.0001 0.000425
improv 0.00365 0.00285 0.009025 0.0098
energi 0.004775 0.00095 0.0164 0.003125
ask 0.00645 0.00555 0.00645 0.006775
email 0.000525 0.000275 0.002075 0.02235
britain 0.01265 0.00455 0.005075 0.00295
televis 0.00835 0.0043 0.00525 0.007325
away 0.0052 0.010275 0.0036 0.006075
without 0.0053 0.0086 0.004025 0.0072
see 0.004625 0.006575 0.00485 0.008875
thirdquart 0.000625 0.000175 0.0221 0.002025
intel 0.000225 2.5e-05 0.00495 0.019575
armi 0.02005 0.000525 0.00335 0.000775
best 0.002875 0.012225 0.004125 0.005425
soldier 0.023125 0.000525 0.000275 0.000675
weekend 0.00715 0.0104 0.00535 0.001625
across 0.008925 0.002025 0.005075 0.0085
littl 0.0035 0.00825 0.00705 0.00565
base 0.006725 0.002775 0.004375 0.01055
applic 0.000675 0.000125 0.003225 0.02035
analyst 0.002875 0.00055 0.01375 0.007125
die 0.015125 0.00435 0.000875 0.0039
shot 0.008025 0.0131 0.00165 0.00145
injur 0.015225 0.00855 0.0002 0.000225
administr 0.008425 0.00055 0.0087 0.006475
california 0.0012 0.00725 0.005675 0.010025
visit 0.0156 0.005175 0.001375 0.001975
amp 0.00065 0.001225 0.01955 0.002675
15 0.00575 0.005825 0.007 0.0055
hostag 0.02365 5e-05 0.0001 0.000225
alleg 0.010925 0.0031 0.006325 0.003625
women 0.00805 0.011575 0.001825 0.0024
question 0.006425 0.006525 0.00465 0.00625
regul 0.00125 0.000625 0.016475 0.005475
account 0.002325 0.00065 0.0152 0.0056
grow 0.0045 0.0013 0.0087 0.009175
nasa 0.00025 2.5e-05 0.0001 0.0233
perform 0.00225 0.008 0.00625 0.00715
judg 0.006875 0.002875 0.009025 0.00485
stop 0.0082 0.00595 0.004275 0.005175
problem 0.00355 0.004575 0.00475 0.0107
life 0.0072 0.004825 0.00445 0.0071
iran 0.02215 0.0004 0.000525 0.00045
exchang 0.0028 0.001425 0.016025 0.003275
challeng 0.006125 0.008325 0.00395 0.0051
israel 0.021875 0.000625 0.000375 0.0006
organ 0.00635 0.002825 0.00665 0.0076
arrest 0.014975 0.00325 0.00145 0.00375
peoplesoft 0.00015 2.5e-05 0.013175 0.01005
uk 0.00315 0.00045 0.010025 0.00975
forecast 0.000975 0.0004 0.019225 0.002775
chairman 0.003225 0.00265 0.013625 0.00385
morn 0.00585 0.007575 0.006025 0.003875
insur 0.00095 0.0002 0.0211 0.001
lost 0.003525 0.0114 0.0049 0.003425
success 0.00415 0.00775 0.0033 0.00805
sun 0.000775 0.0046 0.001875 0.016
caus 0.0087 0.0023 0.004875 0.007325
complet 0.003775 0.009625 0.003875 0.005925
decid 0.00585 0.0071 0.005375 0.004875
hour 0.0098 0.005725 0.0027 0.00495
straight 0.001875 0.015525 0.00515 0.000625
